obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
184.115,184.11521,100w,15000000.0,D,0.0,54313.818,3s2.3p2,3P,0,3s2.3p.5s,3P*,1,E1,T5071,L3521
184.144,184.14489,200,36700000.0,D+,223.157,54528.22,3s2.3p2,3P,2,3s2.3p.5s,3P*,2,E1,T5071,L3521
184.377,184.37699,200,33500000.0,D+,77.115,54313.818,3s2.3p2,3P,1,3s2.3p.5s,3P*,1,E1,T5071,L3521
184.551,184.55202,300,168000000.0,C+,0.0,54185.264,3s2.3p2,3P,0,3s2.3p.3d,3D*,1,E1,T8363c22,L3521
184.61,184.61116,100,56800000.0,E,77.115,54245.02,3s2.3p2,3P,1,3s2.3p.5s,3P*,0,E1,T8363,L3521
184.747,184.74735,400,233000000.0,C+,77.115,54205.09,3s2.3p2,3P,1,3s2.3p.3d,3D*,2,E1,T8363c22,L3521
184.814,184.81505,200,123000000.0,C+,77.115,54185.264,3s2.3p2,3P,1,3s2.3p.3d,3D*,1,E1,T8363c22,L3521
184.874,184.8748,100,39200000.0,D+,223.157,54313.818,3s2.3p2,3P,2,3s2.3p.5s,3P*,1,E1,T5071,L3521
185.067,185.0672,500,305000000.0,C+,223.157,54257.582,3s2.3p2,3P,2,3s2.3p.3d,3D*,3,E1,T8363c22,L3521
185.179,,30w,,,,,,,,,,,E1,,L3521
185.246,185.24716,200,74000000.0,C+,223.157,54205.09,3s2.3p2,3P,2,3s2.3p.3d,3D*,2,E1,T8363c22,L3521
185.315,185.31522,50,7920000.0,C,223.157,54185.264,3s2.3p2,3P,2,3s2.3p.3d,3D*,1,E1,T8363c22,L3521
187.31,,100,,,,,,,,,,,E1,,L3521
187.484,187.48424,500w,107000000.0,D,6298.85,59636.667,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).6s<1/2>,"(3/2,1/2)*",1,E1,T5071,L3521
187.581,,100,,,,,,,,,,,E1,,L3521
188.185,188.1854,200,5000000.0,D+,223.157,53362.24,3s2.3p2,3P,2,3s2.3p.3d,1F*,3,E1,T5814,L3521
188.77,,200,,,,,,,,,,,E1,,L3521
,189.06372,,4.45,D,6298.85,59191.072,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,
,189.0659,,0.00228,E,6298.85,59190.46,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E2,T5785,
,189.27542,,93.2,D+,6298.85,59131.912,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).4f,2[9/2],4,E2,T5785,
189.325,,200w,,,,,,,,,,,E1,,L3521
,189.35075,,4.66,D,6298.85,59110.892,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,
,189.3541,,109.0,D+,6298.85,59109.959,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).4f,2[5/2],3,E2,T5785,
,189.62329,,30.3,D+,6298.85,59034.988,3s2.3p2,1D,2,3s2.3p.(2P*<3/2>).4f,2[7/2],3,E2,T5785,
190.133,190.1338,1000w,100000000.0,C,6298.85,58893.4,3s2.3p2,1D,2,3s2.3p.4d,1F*,3,E1,T5071,L3521
190.466,190.46647,50w,4870000.0,D,6298.85,58801.529,3s2.3p2,1D,2,3s2.3p.4d,1P*,1,E1,T5071,L3521
,190.51237,,34.0,D+,6298.85,58788.88,3s2.3p2,1D,2,3s2.3p.(2P*<1/2>).4f,2[7/2],4,E2,T5785,
195.497,,100,,,,,,,,,,,E1,,L3521
